Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Attainment,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %,DNW Delta
"Congressional District 36 (116th Congress), California",57732.0,747370.0,42.1,33132.0,116876.0,446221.0,302352.0,77730.0,228450.0,60817.0,31653.0,1064.0,06,36,2021,26.621580214488947,25.708445785045246,-0.9131344294437014
"Congressional District 37 (116th Congress), California",70976.0,712613.0,36.0,42276.0,116484.0,497144.0,306804.0,69223.0,245643.0,49963.0,54523.0,1578.0,06,37,2021,20.339679942029694,22.562613264494598,2.222933322464904
"Congressional District 38 (116th Congress), California",83143.0,711540.0,37.5,31017.0,66496.0,464803.0,292557.0,70040.0,232682.0,49051.0,29348.0,1555.0,06,38,2021,21.08070241789223,23.94063379102192,2.8599313731296903
"Congressional District 39 (116th Congress), California",100743.0,733331.0,39.3,42075.0,64968.0,476509.0,301240.0,67254.0,237424.0,42272.0,53930.0,1815.0,06,39,2021,17.804434261068806,22.325720355862437,4.521286094793631
"Congressional District 40 (116th Congress), California",56942.0,700867.0,32.2,20232.0,135757.0,466164.0,268118.0,86410.0,234767.0,50087.0,10399.0,1258.0,06,40,2021,21.334770218983078,32.22834722025377,10.893577001270689
"Congressional District 41 (116th Congress), California",75638.0,752956.0,31.7,26041.0,94738.0,502672.0,289314.0,88580.0,255292.0,56165.0,22572.0,1404.0,06,41,2021,22.000297698321923,30.61725322659809,8.616955528276169
"Congressional District 42 (116th Congress), California",97618.0,820055.0,35.6,35981.0,64696.0,525019.0,316089.0,88470.0,263248.0,53808.0,35872.0,1706.0,06,42,2021,20.44004132984866,27.988952478574074,7.548911148725413
"Congressional District 43 (116th Congress), California",70542.0,733353.0,36.0,32959.0,108125.0,485288.0,299348.0,71687.0,239097.0,48857.0,32686.0,1440.0,06,43,2021,20.43396613090085,23.94771302965111,3.5137468987502594
"Congressional District 44 (116th Congress), California",62974.0,714444.0,33.7,23405.0,118774.0,470766.0,282228.0,87275.0,232308.0,54071.0,13972.0,1232.0,06,44,2021,23.27556519792689,30.923579517269726,7.648014319342835
"Congressional District 45 (116th Congress), California",116789.0,806990.0,39.1,54855.0,67772.0,531263.0,335943.0,75681.0,262945.0,43813.0,87006.0,2270.0,06,45,2021,16.662419897697237,22.527928845071933,5.865508947374696
"Congressional District 46 (116th Congress), California",77248.0,710498.0,33.6,27233.0,93764.0,484462.0,279683.0,72485.0,248061.0,46389.0,19808.0,1654.0,06,46,2021,18.700642180753928,25.91684156705985,7.216199386305924
"Congressional District 47 (116th Congress), California",78632.0,714590.0,37.7,37435.0,92836.0,482845.0,294356.0,67174.0,242213.0,47469.0,41363.0,1533.0,06,47,2021,19.59803974188008,22.820666132166494,3.2226263902864147
"Congressional District 48 (116th Congress), California",105309.0,718069.0,42.7,57579.0,61969.0,466840.0,303779.0,61282.0,234096.0,37939.0,60200.0,2089.0,06,48,2021,16.20659900211879,20.17321803021275,3.9666190280939624
"Congressional District 49 (116th Congress), California",104696.0,735611.0,38.1,52403.0,53780.0,475449.0,289776.0,64511.0,246527.0,33964.0,60999.0,1965.0,06,49,2021,13.776989944306303,22.262368174037878,8.485378229731575
"Congressional District 50 (116th Congress), California",85615.0,752367.0,37.7,37468.0,78268.0,474970.0,301103.0,73429.0,237198.0,44470.0,39264.0,1603.0,06,50,2021,18.748050152193525,24.38667167049149,5.638621518297967
"Congressional District 51 (116th Congress), California",56635.0,724859.0,33.5,23025.0,123566.0,475865.0,274230.0,82191.0,250891.0,67277.0,15312.0,1291.0,06,51,2021,26.81523051843231,29.97155672245925,3.156326204026943
"Congressional District 52 (116th Congress), California",108946.0,757448.0,37.0,57302.0,59693.0,514359.0,304911.0,58673.0,269923.0,40319.0,92300.0,2045.0,06,52,2021,14.937222837624063,19.242664252847554,4.305441415223491
"Congressional District 53 (116th Congress), California",86816.0,770304.0,35.9,41232.0,80718.0,532682.0,318384.0,66457.0,269777.0,48321.0,55209.0,1695.0,06,53,2021,17.91146020602201,20.873222272476003,2.9617620664539928
"Congressional District 1 (116th Congress), Colorado",80246.0,831812.0,35.3,51043.0,88394.0,584644.0,341386.0,53300.0,299299.0,35911.0,82992.0,1411.0,08,01,2021,11.998369523453135,15.612825364836285,3.6144558413831493
"Congressional District 2 (116th Congress), Colorado",91259.0,822288.0,38.2,50599.0,78148.0,558423.0,338131.0,53382.0,286855.0,35177.0,94189.0,1479.0,08,02,2021,12.26299001237559,15.787372349769765,3.524382337394174
"Congressional District 3 (116th Congress), Colorado",62171.0,755131.0,40.7,34701.0,92988.0,470058.0,304704.0,60739.0,239278.0,43006.0,42411.0,837.0,08,03,2021,17.973236152090873,19.93377179164041,1.960535639549537
"Congressional District 4 (116th Congress), Colorado",85817.0,858938.0,37.5,41117.0,71013.0,553540.0,330881.0,63571.0,286023.0,41016.0,57784.0,1208.0,08,04,2021,14.340105515989972,19.21264744726956,4.872541931279589
"Congressional District 5 (116th Congress), Colorado",73982.0,824439.0,35.9,36843.0,77181.0,539874.0,319468.0,66194.0,282678.0,50713.0,63040.0,1180.0,08,05,2021,17.940200510828575,20.72007211989933,2.7798716090707565
"Congressional District 6 (116th Congress), Colorado",91753.0,827989.0,37.0,44443.0,59290.0,544409.0,325977.0,56180.0,275502.0,33085.0,69160.0,1449.0,08,06,2021,12.008987230582719,17.234344754384512,5.225357523801794
"Congressional District 7 (116th Congress), Colorado",80980.0,802579.0,36.5,40164.0,68962.0,536197.0,322732.0,54220.0,274221.0,35616.0,55495.0,1395.0,08,07,2021,12.988064371437636,16.800317291127005,3.812252919689369
"Congressional District 1 (116th Congress), Connecticut",80168.0,715324.0,40.6,42924.0,74564.0,462063.0,303964.0,52301.0,228943.0,42203.0,64908.0,1005.0,09,01,2021,18.433845979130176,17.206313905594083,-1.2275320735360928
"Congressional District 2 (116th Congress), Connecticut",84124.0,702074.0,42.0,43498.0,56769.0,459741.0,293427.0,47958.0,235226.0,38660.0,60248.0,985.0,09,02,2021,16.43525800719308,16.344099213773784,-0.09115879341929656
"Congressional District 3 (116th Congress), Connecticut",76949.0,716576.0,39.9,41257.0,73667.0,472213.0,311138.0,51678.0,230344.0,43300.0,61767.0,1097.0,09,03,2021,18.797971729239745,16.609350191876274,-2.1886215373634705
"Congressional District 4 (116th Congress), Connecticut",104774.0,745946.0,40.4,65964.0,70783.0,478731.0,307529.0,61607.0,236057.0,35381.0,87568.0,1400.0,09,04,2021,14.988329090007921,20.032907465637386,5.044578375629465
"Congressional District 5 (116th Congress), Connecticut",78198.0,725410.0,42.1,44898.0,75693.0,461734.0,302001.0,54152.0,232129.0,42363.0,59728.0,962.0,09,05,2021,18.249766293741843,17.93106645342234,-0.3186998403195034
"Congressional Districts not defined (116th Congress), Connecticut",-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,09,ZZ,2021,,,
"Congressional District (at Large) (116th Congress), Delaware",72724.0,981892.0,41.1,38917.0,109274.0,612423.0,414664.0,75737.0,300128.0,57780.0,71962.0,1020.0,10,00,2021,19.25178590468067,18.2646672968958,-0.9871186077848684
"Delegate District (at Large) (116th Congress), District of Columbia",93547.0,683154.0,34.3,63793.0,100618.0,485206.0,301403.0,48860.0,232484.0,41004.0,106838.0,1595.0,11,98,2021,17.63734278487982,16.21085390656364,-1.4264888783161815
"Congressional District 1 (116th Congress), Florida",64607.0,797259.0,38.8,34142.0,92833.0,511411.0,319973.0,70323.0,263411.0,51438.0,44605.0,922.0,12,01,2021,19.527658298248745,21.977791876189553,2.4501335779408073
"Congressional District 2 (116th Congress), Florida",55405.0,729598.0,42.6,30076.0,95495.0,452598.0,294621.0,65089.0,238171.0,75409.0,34355.0,812.0,12,02,2021,31.661705245390916,22.092450979393867,-9.56925426599705
"Congressional District 3 (116th Congress), Florida",56028.0,761626.0,37.7,30518.0,121968.0,494414.0,317415.0,78274.0,246275.0,64935.0,39902.0,858.0,12,03,2021,26.366866307989035,24.65983019075973,-1.707036117229304
"Congressional District 4 (116th Congress), Florida",79631.0,851023.0,39.9,43580.0,71323.0,544887.0,350978.0,70854.0,272384.0,40476.0,66821.0,1191.0,12,04,2021,14.859903665413533,20.18759010536273,5.327686439949197
"Congressional District 5 (116th Congress), Florida",45619.0,748057.0,34.6,24254.0,158393.0,498181.0,310412.0,73172.0,243976.0,67654.0,26174.0,827.0,12,05,2021,27.729776699347475,23.572542298622476,-4.157234400724999
"Congressional District 6 (116th Congress), Florida",58634.0,789744.0,47.5,33121.0,95644.0,466528.0,343145.0,73147.0,230088.0,54195.0,37256.0,992.0,12,06,2021,23.554031500990924,21.316644567165483,-2.237386933825441
"Congressional District 7 (116th Congress), Florida",70822.0,781734.0,37.0,38164.0,86213.0,535155.0,333436.0,72407.0,265464.0,49318.0,59222.0,1237.0,12,07,2021,18.578036946629297,21.71541165321081,3.1373747065815145
"Congressional District 8 (116th Congress), Florida",63387.0,775458.0,48.3,37018.0,82097.0,457377.0,335785.0,69396.0,226967.0,49550.0,55192.0,1000.0,12,08,2021,21.83136755563584,20.666795717497802,-1.1645718381380377
"Congressional District 9 (116th Congress), Florida",58995.0,930697.0,38.1,27676.0,123453.0,595964.0,380540.0,92985.0,295599.0,64333.0,41758.0,1146.0,12,09,2021,21.763605424916864,24.435013402007673,2.6714079770908086
"Congressional District 10 (116th Congress), Florida",63355.0,867042.0,36.1,32096.0,124237.0,579753.0,351115.0,76677.0,285266.0,53358.0,46043.0,1180.0,12,10,2021,18.70464759207196,21.83814419776996,3.1334966056979994
"Congressional District 11 (116th Congress), Florida",54163.0,805200.0,55.1,31066.0,97655.0,406107.0,358953.0,73215.0,199040.0,59822.0,40258.0,838.0,12,11,2021,30.055265273311896,20.396820753691987,-9.65844451961991
"Congressional District 12 (116th Congress), Florida",60121.0,798316.0,46.4,35249.0,88238.0,472541.0,346918.0,72382.0,230518.0,49595.0,46371.0,1015.0,12,12,2021,21.514588882430004,20.864296461988136,-0.6502924204418683
"Congressional District 13 (116th Congress), Florida",59761.0,725783.0,47.3,38833.0,87420.0,450582.0,320550.0,54400.0,222863.0,45270.0,45025.0,1063.0,12,13,2021,20.312927673054748,16.970831383559506,-3.3420962894952417
"Congressional District 14 (116th Congress), Florida",61291.0,788149.0,36.9,38296.0,119527.0,534354.0,326771.0,68003.0,265649.0,49134.0,53892.0,1096.0,12,14,2021,18.495834729285637,20.81059824770252,2.314763518416882
"Congressional District 15 (116th Congress), Florida",61727.0,812631.0,39.0,30776.0,104375.0,519352.0,336258.0,76705.0,256683.0,54447.0,38289.0,1086.0,12,15,2021,21.21176704339594,22.811353187136067,1.599586143740126
"Congressional District 16 (116th Congress), Florida",69485.0,861259.0,47.3,40486.0,86910.0,485856.0,370789.0,68675.0,238307.0,46296.0,63191.0,1238.0,12,16,2021,19.427041589210557,18.521315357251698,-0.9057262319588588
"Congressional District 17 (116th Congress), Florida",56938.0,773890.0,52.3,33650.0,97975.0,410762.0,333462.0,65798.0,207876.0,57394.0,38944.0,862.0,12,17,2021,27.609728876830417,19.731783531556818,-7.877945345273599
"Congressional District 18 (116th Congress), Florida",69054.0,783441.0,48.0,43139.0,76820.0,454354.0,337890.0,61626.0,224731.0,45004.0,50215.0,1298.0,12,18,2021,20.02571963814516,18.23847997869129,-1.787239659453867
"Congressional District 19 (116th Congress), Florida",66647.0,826628.0,51.6,45210.0,89138.0,446381.0,364379.0,66743.0,218097.0,43453.0,56877.0,1215.0,12,19,2021,19.923703673136266,18.316917275693715,-1.6067863974425514
"Congressional District 20 (116th Congress), Florida",52991.0,787098.0,37.3,25855.0,133826.0,510310.0,323344.0,65775.0,251095.0,56124.0,31457.0,1218.0,12,20,2021,22.35169955594496,20.342112425157108,-2.0095871307878532
"Congressional District 21 (116th Congress), Florida",67178.0,784165.0,46.2,42583.0,87477.0,455141.0,337951.0,59355.0,228491.0,38707.0,56819.0,1391.0,12,21,2021,16.94027335868809,17.56319703152232,0.6229236728342329
"Congressional District 22 (116th Congress), Florida",71291.0,767612.0,44.5,46999.0,77339.0,477636.0,323999.0,57273.0,240391.0,38922.0,61404.0,1459.0,12,22,2021,16.19112196380064,17.67690641020497,1.485784446404331
"Congressional District 23 (116th Congress), Florida",72175.0,762612.0,41.9,40788.0,81936.0,487616.0,325517.0,64949.0,237050.0,39639.0,60266.0,1528.0,12,23,2021,16.721788652183083,19.952567761437958,3.2307791092548754
"Congressional District 24 (116th Congress), Florida",47027.0,748479.0,37.8,24488.0,144991.0,492467.0,308148.0,74358.0,245161.0,58842.0,28768.0,1163.0,12,24,2021,24.001370527938782,24.1306125627945,0.12924203485571795
"Congressional District 25 (116th Congress), Florida",58973.0,769234.0,42.5,28313.0,111563.0,496017.0,321575.0,68465.0,253360.0,45519.0,37286.0,1339.0,12,25,2021,17.96613514366909,21.290523206095003,3.324388062425914
"Congressional District 26 (116th Congress), Florida",65877.0,785278.0,39.7,28573.0,111416.0,512669.0,324738.0,75564.0,257623.0,53498.0,34179.0,1393.0,12,26,2021,20.766003035443266,23.269220109750012,2.503217074306747
"Congressional District 27 (116th Congress), Florida",65458.0,727749.0,41.9,46018.0,96350.0,481646.0,313137.0,62521.0,243787.0,39883.0,58702.0,1407.0,12,27,2021,16.359773080599048,19.966021262259012,3.6062481816599643
"Congressional District 1 (116th Congress), Georgia",57940.0,752393.0,36.3,31053.0,113909.0,480991.0,303763.0,70166.0,240112.0,53303.0,36601.0,857.0,13,01,2021,22.199223695608715,23.09892909933073,0.8997054037220131
"Congressional District 2 (116th Congress), Georgia",43151.0,671948.0,36.7,24339.0,151002.0,424192.0,271960.0,71725.0,212165.0,67439.0,24538.0,586.0,13,02,2021,31.786109867320246,26.37336372996029,-5.412746137359957
"Congressional District 3 (116th Congress), Georgia",68315.0,756277.0,38.5,33898.0,94607.0,483364.0,311654.0,73927.0,236270.0,47614.0,37348.0,815.0,13,03,2021,20.152368053498115,23.720857104352906,3.56848905085479
"Congressional District 4 (116th Congress), Georgia",63415.0,768431.0,36.8,30218.0,101575.0,506535.0,320152.0,67183.0,241019.0,51325.0,47502.0,997.0,13,04,2021,21.295001638874943,20.984719758114895,-0.3102818807600478
"Congressional District 5 (116th Congress), Georgia",61917.0,778225.0,33.7,43003.0,134522.0,543918.0,329214.0,65326.0,266963.0,57165.0,70220.0,1028.0,13,05,2021,21.41307971516652,19.843020041675018,-1.570059673491503
"Congressional District 6 (116th Congress), Georgia",104703.0,757644.0,38.8,57536.0,50424.0,498553.0,305673.0,61237.0,247573.0,29089.0,100739.0,1356.0,13,06,2021,11.749665755151005,20.03349985114812,8.283834095997117
