Name,Household Income,Population,Median Age (male),Median age (female),Total Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Degree Obtained,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %
"Congressional District 2 (116th Congress), Rhode Island",79584,540082,39.4,42.4,40.9,40176,49720,355418,231446,38212,177180,31516,39260,971,44,2,2021,17.78756067,16.51011467
"Congressional District 1 (116th Congress), South Carolina",77020,802857,38.5,41.1,40,43359,79773,503157,337387,66886,245248,36216,65157,1153,45,1,2021,14.7670929,19.82471168
"Congressional District 2 (116th Congress), South Carolina",64315,717963,37.5,40,38.8,34919,85655,455848,297274,59797,222986,40176,45975,791,45,2,2021,18.01727463,20.11511266
"Congressional District 3 (116th Congress), South Carolina",53484,700576,39.3,41.9,40.6,29559,108097,437095,290013,64666,217540,47996,32744,596,45,3,2021,22.06306886,22.29762114
"Congressional District 4 (116th Congress), South Carolina",62354,752791,37.3,39.3,38.3,34647,88987,480038,311418,61058,236169,38317,46987,800,45,4,2021,16.22439863,19.60644536
"Congressional District 5 (116th Congress), South Carolina",58828,727226,38.9,41.1,40.1,31811,94429,455862,300756,66608,223235,47947,38889,666,45,5,2021,21.47826282,22.14685659
"Congressional District 6 (116th Congress), South Carolina",42470,653349,35,38.3,36.5,24621,138879,427239,274969,63208,212562,61122,26912,716,45,6,2021,28.75490445,22.98731857
"Congressional District 7 (116th Congress), South Carolina",50463,724141,43.1,45.8,44.4,28744,122525,436629,312532,73011,210354,55782,31876,686,45,7,2021,26.51815511,23.36112782
"Congressional District (at Large) (116th Congress), South Dakota",63920,881785,36.5,37.9,37.1,33468,106291,539841,339964,47726,277725,35498,38009,695,46,0,2021,12.78170852,14.03854526
"Congressional District 1 (116th Congress), Tennessee",48817,725183,42.6,45.2,44,28385,115713,451183,306707,71698,224970,57064,28180,576,47,1,2021,25.3651598,23.37670806
"Congressional District 2 (116th Congress), Tennessee",60829,767016,38.8,41,39.9,34472,93910,490768,323334,67546,242897,47414,45478,752,47,2,2021,19.52020815,20.89047239
"Congressional District 3 (116th Congress), Tennessee",55944,734250,40.4,42.8,41.6,32576,102188,462295,307505,67817,229853,50419,35330,670,47,3,2021,21.93532388,22.05395034
"Congressional District 4 (116th Congress), Tennessee",61300,821348,36.6,38.9,37.8,30069,102538,530197,332088,73969,265005,47726,33154,771,47,4,2021,18.00947152,22.27391535
"Congressional District 5 (116th Congress), Tennessee",65700,792617,34.6,35.6,35.1,39879,107565,543006,335005,58325,265348,36040,55685,1087,47,5,2021,13.5821638,17.41018791
"Congressional District 6 (116th Congress), Tennessee",61426,800493,39.4,41.9,40.6,31720,100078,501047,326160,69628,251342,50506,34280,713,47,6,2021,20.09453255,21.34780476
"Congressional District 7 (116th Congress), Tennessee",65409,812291,36.9,38.8,37.7,35641,88015,516269,321793,76628,259943,56768,47487,749,47,7,2021,21.83863385,23.81282377
"Congressional District 8 (116th Congress), Tennessee",64397,712769,40.2,42,41,36472,86967,441499,293029,69002,218006,50311,43668,595,47,8,2021,23.0778052,23.54783997
"Congressional District 9 (116th Congress), Tennessee",44723,693530,32.2,35.4,33.8,26162,158955,450329,289069,67173,213128,54791,32838,748,47,9,2021,25.70802522,23.23770449
