NAME,B19013_001E,B01003_001E,B01002_001E,B19301_001E,B17001_002E,B23022_001E,B23001_088E,B23022_049E,B23022_002E,B23022_025E,B15003_023E,B25058_001E,state,congressional district,Year
"Congressional District 11 (116th Congress), Georgia",84218.0,788712.0,37.3,44551.0,67842.0,528250.0,323499.0,66524.0,261884.0,37005.0,58740.0,1187.0,13,11,2021
"Congressional District 12 (116th Congress), Georgia",51850.0,734110.0,35.9,27156.0,131280.0,472920.0,295923.0,75857.0,236961.0,63374.0,28782.0,642.0,13,12,2021
"Congressional District 13 (116th Congress), Georgia",65738.0,788497.0,36.2,31106.0,91879.0,519541.0,330871.0,67858.0,239669.0,48783.0,43471.0,978.0,13,13,2021
"Congressional District 14 (116th Congress), Georgia",58070.0,724598.0,38.3,27861.0,92318.0,462266.0,290881.0,70554.0,231228.0,46855.0,24819.0,623.0,13,14,2021
"Congressional District 1 (116th Congress), Hawaii",91015.0,729555.0,39.9,41430.0,58211.0,461637.0,299389.0,48551.0,238415.0,37869.0,47458.0,1649.0,15,01,2021
"Congressional District 2 (116th Congress), Hawaii",84198.0,723943.0,39.3,36642.0,75529.0,444085.0,287057.0,53302.0,226464.0,42435.0,36391.0,1500.0,15,02,2021
"Congressional District 1 (116th Congress), Idaho",65134.0,941417.0,38.6,32183.0,94632.0,573863.0,368435.0,74097.0,289503.0,47688.0,40197.0,848.0,16,01,2021
"Congressional District 2 (116th Congress), Idaho",61601.0,870200.0,34.9,30780.0,107928.0,544284.0,332261.0,65431.0,278118.0,37443.0,39675.0,794.0,16,02,2021
"Congressional District 1 (116th Congress), Illinois",60555.0,715763.0,38.9,32224.0,115486.0,458506.0,309350.0,67061.0,217579.0,56374.0,46927.0,902.0,17,01,2021
"Congressional District 2 (116th Congress), Illinois",56038.0,686546.0,38.0,28390.0,123673.0,433774.0,291364.0,67388.0,205132.0,55284.0,34455.0,861.0,17,02,2021
"Congressional District 3 (116th Congress), Illinois",77332.0,724550.0,39.1,36348.0,70812.0,460341.0,285704.0,65162.0,236193.0,43070.0,41426.0,967.0,17,03,2021
"Congressional District 4 (116th Congress), Illinois",63991.0,690373.0,34.2,29741.0,98084.0,474114.0,272631.0,68498.0,242540.0,43348.0,34425.0,956.0,17,04,2021
"Congressional District 5 (116th Congress), Illinois",94542.0,752522.0,35.8,59649.0,57993.0,527009.0,315768.0,51189.0,265351.0,32194.0,87317.0,1370.0,17,05,2021
"Congressional District 6 (116th Congress), Illinois",111571.0,732738.0,41.2,54811.0,37704.0,465709.0,298758.0,51532.0,231068.0,27528.0,81650.0,1336.0,17,06,2021
"Congressional District 7 (116th Congress), Illinois",67754.0,738479.0,35.0,48886.0,137776.0,513775.0,320522.0,68504.0,251173.0,65579.0,71415.0,1138.0,17,07,2021
"Congressional District 8 (116th Congress), Illinois",80043.0,720276.0,37.5,36243.0,60916.0,469021.0,288430.0,52345.0,236451.0,30896.0,45850.0,1225.0,17,08,2021
"Congressional District 9 (116th Congress), Illinois",83157.0,745865.0,40.6,51445.0,75692.0,474403.0,309805.0,59086.0,238251.0,38192.0,91869.0,1194.0,17,09,2021
"Congressional District 10 (116th Congress), Illinois",90082.0,722961.0,39.1,49097.0,59457.0,461492.0,290094.0,57380.0,234005.0,33682.0,68200.0,1158.0,17,10,2021
"Congressional District 11 (116th Congress), Illinois",85144.0,706594.0,37.0,39109.0,60319.0,459596.0,281557.0,51461.0,230476.0,31403.0,51395.0,1192.0,17,11,2021
"Congressional District 12 (116th Congress), Illinois",56256.0,679543.0,39.9,30663.0,101118.0,427569.0,276017.0,53586.0,216982.0,53060.0,35263.0,612.0,17,12,2021
